# detrended lc with Rbf (quintic, 100)
# t, f, x, y
3083.185060 1.000509 0.999894 0.999963
3083.205494 1.000498 0.999896 0.999963
3083.225927 1.000518 0.999897 0.999964
3083.246361 1.000321 0.999901 0.999964
3083.266795 1.000850 0.999895 0.999962
3083.287228 1.000450 0.999900 0.999963
3083.307662 1.000434 0.999900 0.999963
3083.328095 1.000420 0.999900 0.999963
3083.348529 1.000480 0.999902 0.999962
3083.368963 1.000386 0.999900 0.999964
3083.389396 1.000443 0.999902 0.999963
3083.409830 1.000412 0.999902 0.999964
3083.430263 1.000449 0.999903 0.999964
3083.450697 1.000412 0.999906 0.999964
3083.471130 1.000501 0.999903 0.999964
3083.491564 1.000377 0.999907 0.999965
3083.511998 1.000459 0.999908 0.999962
3083.532431 1.000335 0.999909 0.999964
3083.552865 1.000464 0.999908 0.999964
3083.573298 1.000389 0.999912 0.999964
3083.593732 1.000386 0.999917 0.999965
3083.614166 1.000335 0.999922 0.999966
3083.634599 1.000416 0.999922 0.999967
3083.655033 1.000455 0.999921 0.999966
3083.675467 1.000403 0.999925 0.999966
3083.695900 1.000489 0.999926 0.999967
3083.716334 1.000441 0.999930 0.999967
3083.736767 1.000500 0.999931 0.999968
3083.757201 1.000460 0.999935 0.999967
3083.777634 1.000488 0.999936 0.999967
3083.798068 1.000465 0.999937 0.999968
3083.818502 1.000433 0.999939 0.999967
3083.838935 1.000471 0.999938 0.999968
3083.859369 1.000534 0.999943 0.999968
3083.879803 1.000545 0.999940 0.999967
3083.900236 1.000431 0.999948 0.999969
3083.920670 1.000591 0.999951 0.999969
3083.941103 1.000598 0.999955 0.999967
3083.961537 1.000542 0.999955 0.999967
3083.981971 1.000553 0.999958 0.999970
3084.002404 1.000603 0.999966 0.999969
3084.022838 1.000569 0.999971 0.999971
3084.043271 1.000659 0.999974 0.999970
3084.063705 1.000652 0.999971 0.999970
3084.084139 1.000637 0.999975 0.999970
3084.104572 1.000564 0.999977 0.999971
3084.125006 1.000499 0.999979 0.999971
3084.145439 1.000607 0.999981 0.999971
3084.165873 1.000707 0.999985 0.999970
3084.186307 1.000507 0.999945 0.999967
3084.206740 1.000770 0.999921 0.999965
3084.227174 1.001066 0.999921 0.999963
3084.247607 1.000522 0.999930 0.999967
3084.268041 1.000514 0.999933 0.999967
3084.288475 1.000515 0.999937 0.999967
3084.308908 1.000539 0.999940 0.999967
3084.329342 1.000594 0.999937 0.999966
3084.349775 1.000687 0.999942 0.999967
3084.370209 1.000491 0.999950 0.999968
3084.390643 1.000635 0.999945 0.999968
3084.411076 1.000537 0.999947 0.999968
3084.451943 1.000444 0.999886 0.999964
3084.472377 0.999387 0.999896 0.999969
3084.492811 0.988053 1.000030 1.000021
3084.513244 0.985483 1.000057 1.000032
3084.533678 0.989965 1.000001 1.000011
3084.554111 1.000128 0.999883 0.999966
3084.574545 1.000480 0.999878 0.999965
3084.594979 1.000381 0.999882 0.999964
3084.615412 1.000344 0.999878 0.999964
3084.635846 1.000297 0.999882 0.999964
3084.656279 1.000433 0.999881 0.999963
3084.676713 1.000407 0.999890 0.999962
3084.697147 1.000348 0.999891 0.999964
3084.717580 1.000577 0.999884 0.999961
3084.738014 1.000450 0.999885 0.999962
3084.758447 1.000385 0.999885 0.999962
3084.778881 1.000392 0.999884 0.999962
3084.799315 1.000408 0.999884 0.999961
3084.819748 1.000382 0.999884 0.999963
3084.840182 1.000478 0.999880 0.999961
3084.860615 1.000515 0.999879 0.999962
3084.881049 1.000406 0.999878 0.999962
3084.901483 1.000364 0.999874 0.999962
3084.921916 1.000238 0.999875 0.999963
3084.942350 1.000183 0.999871 0.999962
3084.962783 1.000302 0.999866 0.999962
3084.983217 1.000363 0.999867 0.999961
3085.003651 1.000238 0.999867 0.999962
3085.024084 1.000310 0.999866 0.999960
3085.044518 1.000298 0.999864 0.999962
3085.064951 1.000175 0.999867 0.999961
3085.085385 1.000299 0.999862 0.999962
3085.105819 1.000322 0.999863 0.999963
3085.126252 1.000479 0.999865 0.999961
3085.146686 1.000320 0.999865 0.999962
3085.167120 1.000362 0.999861 0.999961
3085.187553 1.000270 0.999859 0.999962
3085.207987 1.000316 0.999860 0.999961
3085.228420 1.000283 0.999861 0.999962
3085.248854 1.000308 0.999863 0.999962
3085.269288 1.000250 0.999861 0.999962
3085.289721 1.000275 0.999864 0.999961
3085.310155 1.000291 0.999863 0.999961
3085.330588 1.000287 0.999863 0.999961
3085.351022 1.000238 0.999861 0.999961
3085.371456 1.000326 0.999860 0.999961
3085.391889 1.000304 0.999862 0.999962
3085.412323 1.000334 0.999862 0.999962
3085.432756 1.000291 0.999868 0.999961
3085.453190 1.000308 0.999871 0.999961
3085.473624 1.000422 0.999870 0.999961
3085.494057 1.000255 0.999875 0.999962
3085.514491 1.000481 0.999872 0.999960
3085.534924 1.000367 0.999877 0.999962
3085.555358 1.000451 0.999878 0.999964
3085.575792 1.000369 0.999879 0.999964
3085.596225 1.000463 0.999880 0.999963
3085.616659 1.000422 0.999880 0.999963
3085.637092 1.000373 0.999883 0.999963
3085.657526 1.000438 0.999884 0.999963
3085.677959 1.000528 0.999884 0.999963
3085.698393 1.000529 0.999885 0.999962
3085.718827 1.000559 0.999888 0.999962
3085.739260 1.000561 0.999891 0.999962
3085.759694 1.000541 0.999889 0.999962
3085.780128 1.000580 0.999891 0.999963
3085.800561 1.000517 0.999893 0.999964
3085.820995 1.000613 0.999895 0.999964
3085.841428 1.000575 0.999898 0.999964
3085.861862 1.000503 0.999900 0.999965
3085.882296 1.000621 0.999896 0.999965
3085.902729 1.000708 0.999896 0.999963
3085.923163 1.000698 0.999901 0.999964
3085.943596 1.000691 0.999902 0.999964
3085.964030 1.000612 0.999903 0.999966
3085.984464 1.000532 0.999906 0.999966
3086.004897 1.000654 0.999904 0.999965
3086.025331 1.000676 0.999904 0.999965
3086.045764 1.000747 0.999910 0.999965
3086.066198 1.000667 0.999908 0.999966
3086.086632 1.000657 0.999908 0.999966
3086.107065 1.000684 0.999910 0.999966
3086.127499 1.000701 0.999912 0.999965
3086.147932 1.000750 0.999915 0.999965
3086.168366 1.000845 0.999916 0.999965
3086.188800 1.000805 0.999915 0.999965
3086.209233 1.000823 0.999921 0.999967
3086.229667 0.999201 0.999940 0.999973
3086.250100 0.987632 1.000081 1.000025
3086.270534 0.985906 1.000098 1.000032
3086.290968 0.991375 1.000032 1.000007
3086.311401 1.000810 0.999925 0.999967
3086.331835 1.000836 0.999924 0.999965
3086.352268 1.000725 0.999927 0.999967
