# Time, flux, Xc, Yc
3.077565819319803268e+03 4.215528000000000000e+06 5.750316771706889085e+02 9.684662284297482984e+02
3.077586253019981086e+03 4.215950000000000000e+06 5.750277465339959235e+02 9.684657704669173199e+02
3.077606686519924551e+03 4.216464000000000000e+06 5.750310883716782655e+02 9.684660212917743820e+02
3.077627120119985193e+03 4.215881000000000000e+06 5.750345441439167189e+02 9.684678784813897892e+02
3.077647553820163012e+03 4.215855000000000000e+06 5.750370605725291853e+02 9.684693301833199257e+02
3.077667987320106477e+03 4.216173000000000000e+06 5.750413526674545892e+02 9.684691389561102142e+02
3.077688420920167118e+03 4.216625000000000000e+06 5.750458748406605309e+02 9.684690085079892015e+02
3.077708854619879276e+03 4.216530000000000000e+06 5.750482861499858700e+02 9.684693605879716642e+02
3.077729288219939917e+03 4.216229000000000000e+06 5.750555458444026726e+02 9.684704341249016579e+02
3.077749721719883382e+03 4.216779000000000000e+06 5.750579221723500041e+02 9.684709796268668924e+02
3.077770155420061201e+03 4.216529000000000000e+06 5.750624110494674142e+02 9.684720975475325986e+02
3.077790589020121843e+03 4.216636000000000000e+06 5.750670081553162163e+02 9.684724190088971909e+02
3.077811022520065308e+03 4.214472000000000000e+06 5.749979708015619053e+02 9.684640123365394402e+02
3.077831456219777465e+03 4.214932000000000000e+06 5.749899825192909475e+02 9.684624674846473908e+02
3.077851889819838107e+03 4.215203000000000000e+06 5.749941160603652861e+02 9.684618700451674158e+02
3.077872323319781572e+03 4.215128000000000000e+06 5.749990723887863169e+02 9.684622089768092792e+02
3.077892757019959390e+03 4.215679000000000000e+06 5.750012614812465017e+02 9.684620688624537479e+02
3.077913190620020032e+03 4.215727000000000000e+06 5.750056597592775915e+02 9.684624469278963943e+02
3.077933624119963497e+03 4.215838000000000000e+06 5.750088212592609125e+02 9.684625569103935732e+02
3.077954057820141315e+03 4.216081000000000000e+06 5.750143419920062797e+02 9.684632719342915834e+02
3.077974491420201957e+03 4.215813000000000000e+06 5.750190781706874077e+02 9.684653211610666403e+02
3.077994924920145422e+03 4.215714000000000000e+06 5.750243019331956020e+02 9.684662669241794219e+02
3.078015358619857579e+03 4.215251000000000000e+06 5.750321821879646222e+02 9.684679768772962234e+02
3.078035792119801044e+03 4.216267000000000000e+06 5.750323696293427247e+02 9.684667797366722652e+02
3.078056225819978863e+03 4.216254000000000000e+06 5.750369289895722886e+02 9.684679196272330728e+02
3.078076659420039505e+03 4.215917000000000000e+06 5.750421863143890278e+02 9.684687841340329442e+02
3.078097093020100147e+03 4.216323000000000000e+06 5.750446856182508100e+02 9.684691175225427742e+02
3.078117526520043612e+03 4.216157000000000000e+06 5.750490944715768364e+02 9.684696926608758076e+02
3.078137960220221430e+03 4.219667000000000000e+06 5.750509272414150246e+02 9.684673911472161763e+02
3.078158393819816411e+03 4.215765000000000000e+06 5.750578514219838553e+02 9.684727144421000276e+02
3.078178827320225537e+03 4.216499000000000000e+06 5.750606142679032473e+02 9.684714150293881403e+02
3.078199261019937694e+03 4.216834000000000000e+06 5.750648967922379597e+02 9.684723833093737539e+02
3.078219694619998336e+03 4.216577000000000000e+06 5.750718174955657105e+02 9.684728949572129295e+02
3.078240128320176154e+03 4.216427000000000000e+06 5.750774264560966458e+02 9.684729736812709007e+02
3.078260561820119619e+03 4.216158000000000000e+06 5.750804976948206786e+02 9.684736696300280983e+02
3.078280995420180261e+03 4.215825000000000000e+06 5.750885810013461423e+02 9.684747815670716591e+02
3.078301429119892418e+03 4.214968000000000000e+06 5.750177348914629647e+02 9.684651188336423502e+02
3.078321862619835883e+03 4.215257000000000000e+06 5.750069039681328604e+02 9.684624315907666414e+02
3.078342296219896525e+03 4.215094000000000000e+06 5.750118775524341572e+02 9.684632342718809923e+02
3.078362729920074344e+03 4.215461000000000000e+06 5.750152813654307238e+02 9.684642011870113265e+02
3.078383163420017809e+03 4.215504000000000000e+06 5.750196961027672842e+02 9.684650549495386258e+02
3.078403597020078450e+03 4.215360000000000000e+06 5.750247212574963669e+02 9.684653780460031385e+02
3.078424030719790608e+03 4.215275000000000000e+06 5.750299199933574528e+02 9.684660141983619042e+02
3.078444464220199734e+03 4.215653000000000000e+06 5.750304837708416699e+02 9.684666242691226898e+02
3.078464897819794714e+03 4.216217000000000000e+06 5.750337885834624103e+02 9.684667791055346697e+02
3.078485331519972533e+03 4.215489000000000000e+06 5.750388564648134206e+02 9.684689766715083579e+02
3.078505765019915998e+03 4.215597000000000000e+06 5.750422203545547291e+02 9.684699094813854572e+02
3.078526198619976640e+03 4.215376000000000000e+06 5.750471352970648695e+02 9.684707556336611560e+02
3.078546632320154458e+03 3.826730000000000000e+06 5.758207461723194456e+02 9.691275449273923641e+02
3.078567065920215100e+03 4.214569000000000000e+06 5.750057564605064044e+02 9.684655890080338168e+02
3.078587499420158565e+03 4.214833000000000000e+06 5.750068541268420859e+02 9.684652948290002996e+02
3.078607933119870722e+03 4.214774000000000000e+06 5.750075418041394641e+02 9.684651141437240085e+02
3.078628366719931364e+03 4.214993000000000000e+06 5.750108137783383881e+02 9.684666683906710887e+02
